N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,TYPE REGISTRANT,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,OTHER NAMES(1),OTHER NAMES(2),OTHER NAMES(3),OTHER NAMES(4),OTHER NAMES(5),EXPIRATION DATE,UNIQUE ID,KIT MFR, KIT MODEL,MODE S CODE HEX,
100  ,5334                          ,7100510,17003,1940,1,BENE MARY D                                       ,PO BOX 329                       ,                                 ,KETCHUM           ,OK,743490329 ,2,097,US,20200105,20050506,1         ,4,1 ,V ,50002263, ,19540430,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230430,00600060,                              ,                    ,A004B3    ,
10001,A28                           ,9601202,67007,1928,1,STOOS ROBERT A                                    ,PO BOX 1056                      ,                                 ,LAKELAND          ,FL,338021056 ,7,105,US,20190227,20190227,1         ,4,1 ,V ,50003446, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220228,00432072,                              ,                    ,A00726    ,
10002,79-030                        ,8930105,41525,1979,3,ENGLISH AIR SERVICE                               ,3409 CORSAIR CIR                 ,                                 ,SANTA MARIA       ,CA,934552500 ,4,083,US,20171215,20171016,31        ,6,1 ,26,50003447, ,19960124,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20201031,00831480,                              ,                    ,A00727    ,
10003,1                             ,056336T,     ,    ,1,CAMPBELL CHARLES N                                ,604 CORDOVA CT                   ,                                 ,SALISBURY         ,NC,281466337 ,1,159,US,20171012,20150313,          ,4,8 ,V ,50003450, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210331,01173853,                              ,                    ,A00728    ,
10004,T18208245                     ,2072738,     ,    ,7,ETOS AIR LLC                                      ,PO BOX 288                       ,                                 ,NEW LONDON        ,TX,756820288 ,2,401,US,20181013,20130312,          ,4,1 ,V ,50003451, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220331,00102879,                              ,                    ,A00729    ,
10006,BG-72                         ,1152020,17026,1955,1,COUTCHES ROBERT HERCULES DBA                      ,550 AIRWAY BLVD                  ,                                 ,LIVERMORE         ,CA,945519533 ,4,001,US,20171212,19980826,1U        ,4,1 ,25,50003453, ,19710909,AERO FLIGHT AVIATION                              ,                                                  ,                                                  ,                                                  ,                                                  ,20210228,00480110,                              ,                    ,A0072B    ,
10007,21058839                      ,2073430,17032,1966,1,INSKO MATTHEW T                                   ,5804 HILLTOP ST                  ,                                 ,PAPILLION         ,NE,681332403 ,3,055,US,20190102,20190102,1N        ,4,1 ,V ,50003454, ,19670128,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220131,00470110,                              ,                    ,A0072C    ,
10009,79-032                        ,8930105,41525,1979,3,HENDRICKSON FLYING SERVICE INC                    ,21532 QUITNO RD                  ,                                 ,ROCHELLE          ,IL,610689413 ,C,141,US,20190311,20100211,31        ,6,1 ,V ,50003456, ,19790809,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220831,00460110,                              ,                    ,A0072E    ,
1000A,3255                          ,3801213,00000,1978,1,CARDEN ERIC W                                     ,130 VAUGHNWOOD TRCE              ,                                 ,HUNTSVILLE        ,AL,358064087 ,7,089,US,20180709,20151215,1G        ,1,0 ,V ,50003415, ,19790427,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20211231,00802272,                              ,                    ,A0070D    ,
1000E,550-1011                      ,2076604,52065,2002,3,WR HESS CO                                        ,3636 S MERIDIAN AVE              ,                                 ,OKLAHOMA CITY     ,OK,731192420 ,2,109,US,20191010,20160216,1T        ,5,5 ,V ,50003421, ,20160219,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220228,01207444,                              ,                    ,A00711    ,
1000H,15AC-2                        ,0191202,17012,1948,1,MUMM SCOTT A                                      ,PO BOX 2                         ,                                 ,BRODHEAD          ,WI,535200002 ,C,045,US,20200818,20010821,1         ,4,1 ,V ,50003424, ,19550821,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20240131,00350110,                              ,                    ,A00714    ,
1000J,M-1000                        ,1151208,17033,1966,3,EAGLE MOUNTAIN AVIATION INC                       ,3511 SILVERSIDE RD STE 105       ,                                 ,WILMINGTON        ,DE,198104902 ,1,003,US,20180221,20120413,1N        ,4,1 ,V ,50003425, ,19661028,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210430,00340110,                              ,                    ,A00715    ,
1000K,320D0080                      ,2074512,17249,    ,1,FLORES MARTIN                                     ,2200 E 14TH ST                   ,                                 ,BROWNSVILLE       ,TX,785212070 ,2,061,US,20190722,20190722,1N        ,5,1 ,V ,50003426, ,20080129,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220731,00330110,                              ,                    ,A00716    ,
1000L,TC-1000                       ,1152706,17027,1966,1,WISE JOE                                          ,PO BOX 1876                      ,                                 ,KILGORE           ,TX,756631876 ,2,183,US,20180118,20070821,1N        ,5,1 ,V ,50003427, ,19660521,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210630,00320110,                              ,                    ,A00717    ,
1000N,310H0104                      ,2074220,17027,1963,3,ANDERSON AERIAL SPRAYING SERVICE INC              ,PO BOX 11                        ,                                 ,CANBY             ,MN,562200011 ,C,173,US,20191207,19970408,1N        ,5,1 ,V ,50003431, ,19630627,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230430,00300110,                              ,                    ,A00719    ,
1000P,28-1000                       ,7102808,41514,1963,4,LENSING KURT R                                    ,1312 COLFAX RD NE                ,                                 ,BELGRADE          ,MN,563129742 ,C,145,US,20191210,20170503,1N        ,4,1 ,V ,50003432, ,19940615,ANDERSON ISAAC J                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230531,00290110,                              ,                    ,A0071A    ,
1000Q,310P0195                      ,2074238,17027,    ,7,N1000Q LLC                                        ,13738 CAMPUS DR                  ,                                 ,OAKLAND           ,CA,946053832 ,4,001,US,20180802,20180802,1N        ,5,1 ,V ,50003433, ,19700518,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210831,00280110,                              ,                    ,A0071B    ,
1000S,AA5-0107                      ,0631410,41508,1972,3,BUTLER COUNTY WARBIRDS INC                        ,1707 RUN WAY                     ,                                 ,MIDDLETOWN        ,OH,450422300 ,C,017,US,20190419,20020215,1N        ,4,1 ,V ,50003435, ,19720622,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220930,00260110,                              ,                    ,A0071D    ,
1000T,D-4980                        ,1151520,17026,1957,1,HAUGHTON DOUGLAS L                                ,PO BOX 6                         ,                                 ,ALLYN             ,WA,985240006 ,S,045,US,20191214,20070510,1         ,4,1 ,V ,50003436, ,19570215,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230531,00250110,                              ,                    ,A0071E    ,
1000U,15285955                      ,2071835,41505,1985,5,OHIO UNIVERSITY                                   ,751 COLUMBIA RD                  ,                                 ,ALBANY            ,OH,457109220 ,C,009,US,20180515,19851107,1U        ,4,8 ,V ,50003437, ,19850923,DEPARTMENT OF AVIATION                            ,                                                  ,                                                  ,                                                  ,                                                  ,20211031,00610286,                              ,                    ,A0071F    ,
1000V,0660                          ,2130001,17042,2003,7,1KV LLC                                           ,3511 SILVERSIDE RD STE 105       ,                                 ,WILMINGTON        ,DE,198104902 ,1,003,US,20190514,20100305,1N        ,4,1 ,V ,50003440, ,20050527,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20221031,00062249,                              ,                    ,A00720    ,
1000W,CCX-2300-0017                 ,05639MP,     ,    ,7,SES OPERATING LLC                                 ,PO BOX 108                       ,                                 ,MIDLAND           ,TX,797020108 ,2,329,US,20200908,20200908,          ,4,1 ,V ,50003441, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230930,01325143,                              ,                    ,A00721    ,
1000Y,30999                         ,2072602,17026,1954,1,MCCLEARY CHARLES E                                ,PO BOX 426                       ,                                 ,OZONA             ,TX,769430426 ,2,105,US,20170530,19820720,1         ,4,1 ,26,50003443, ,19560519,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20201031,00520110,                              ,                    ,A00723    ,
1000Z,880                           ,3801567,00000,1960,1,BUTLER BLAKE B                                    ,2056 HIGHWAY 130 W               ,                                 ,SHELBYVILLE       ,TN,371606601 ,3,003,US,20180313,19941031,1         ,1,0 ,V ,50003444, ,19610216,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210831,00510110,                              ,                    ,A00724    ,
1001 ,980                           ,4690506,52008,1947,1,SMITH RONALD L                                    ,11475 IRONHEAD TRL               ,                                 ,LAKELAND          ,FL,338098001 ,7,105,US,20191201,20140305,1N        ,4,1 ,V ,50003457, ,19551121,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230331,00450110,                              ,                    ,A0072F    ,
10013,15074753                      ,2071826,17020,1973,1,MARTIN RONNIE D                                   ,250 TRACE BRANCH RD              ,                                 ,NEBO              ,KY,424419393 ,3,107,US,20181013,20160324,1U        ,4,1 ,V ,50003513, ,19730526,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220331,00680110,                              ,                    ,A0074B    ,
10014,22328                         ,2074002,17026,    ,3,GRIZZLY AIR SERVICE INC                           ,92 COUNTY ROAD 34770             ,                                 ,PARIS             ,TX,754600103 ,2,277,US,20191107,        ,1N        ,4,1 ,V ,50003514, ,19720914,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,        ,00670110,                              ,                    ,A0074C    ,
10015,236                           ,3371402,     ,    ,1,MOORE CHARLES E                                   ,120 NC HIGHWAY 100               ,                                 ,GIBSONVILLE       ,NC,27249     ,1,081,US,20180603,19911109,          ,4,1 ,V ,50003515, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20211031,00133722,                              ,                    ,A0074D    ,
10018,M5446449                      ,059006O,55564,2002,1,COY DAVID A                                       ,PO BOX 300154                    ,                                 ,DE BORGIA         ,MT,598300154 ,S,061,US,20190725,20100119,48A       ,7,1 ,V ,50003520, ,20100125,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220930,00205039,                              ,                    ,A00750    ,
10019,51-0019                       ,3950408,66822,1951,1,GLOVER WILLIAM S                                  ,PO BOX 287                       ,                                 ,MOUNT PLEASANT    ,TX,754560287 ,2,449,US,20200723,20141208,43        ,5,1 ,V ,50003521, ,20160607,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20231231,00183525,                              ,                    ,A00751    ,
1001A,CG3                           ,0566069,41509,    ,1,GALPIN JAY D                                      ,200 MARCH RD                     ,                                 ,SANBORNTON        ,NH,032692010 ,E,001,US,20190515,20190515,42        ,4,1 ,V ,50003460, ,20010608,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220531,00254281,                              ,                    ,A00730    ,
